Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1764873507963,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,20,15.789472579956055,28.571430206298828,28.571430206298828,25,14.285715103149414,28.571430206298828,36.842105865478516,35,30.000001907348633,33.333335876464844,26.3157901763916,33.333335876464844,21.052631378173828,21.052631378173828,20,20,31.57894515991211,20,26.3157901763916,0,26314.93878173828,22420.66455078125,0,33410265088,0,3294339072,0
200,1764873508163,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,35,28.205129623413086,37.5,26.829269409179688,30.76923179626465,35.897438049316406,40,30.952381134033203,35,36.585365295410156,35,32.5,35.897438049316406,52.499996185302734,35.71428680419922,37.5,46.153846740722656,46.34146499633789,34.21052551269531,37.5,0,26327.689697265625,22433.09100341797,0,33410265088,0,3306676224,0
200,1764873508364,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,26.3157901763916,23.809524536132813,25,21.052631378173828,33.333335876464844,20,25,26.3157901763916,25,30.000001907348633,30.000001907348633,21.052631378173828,23.809524536132813,22.72727394104004,47.619049072265625,20,30.000001907348633,20,25,25,0,26333.241271972656,22438.34100341797,0,33410265088,0,3308109824,0
199,1764873508564,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,47.619049072265625,47.36842346191406,47.36842346191406,45,57.894737243652344,36.842105865478516,50,57.894737243652344,52.6315803527832,47.36842346191406,50,57.142860412597656,57.894737243652344,45,50,45,45.45454788208008,57.894737243652344,50,36.842105865478516,0,26341.802673339844,22446.576721191406,0,33410265088,0,3309596672,0
199,1764873508764,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,47.619049072265625,47.36842346191406,47.36842346191406,45,57.894737243652344,36.842105865478516,50,57.894737243652344,52.6315803527832,47.36842346191406,50,57.142860412597656,57.894737243652344,45,50,45,45.45454788208008,57.894737243652344,50,36.842105865478516,0,26358.168579101563,22462.600708007813,0,33410265088,0,3322585088,0
199,1764873508964,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,45,41.46341323852539,38.46154022216797,36.842105865478516,37.5,35.897438049316406,40,40,41.46341323852539,40,41.46341323852539,36.585365295410156,45,25.641027450561523,32.5,63.15789031982422,46.153846740722656,37.5,47.5,30.000001907348633,0,26372.515258789063,22476.605407714844,0,33410265088,0,3358027776,0
199,1764873509164,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,26.3157901763916,35,75,10,60.000003814697266,57.142860412597656,31.57894515991211,25,50,44.4444465637207,52.38095474243164,35,45,36.842105865478516,15.789472579956055,95,20,90.47618865966797,42.105262756347656,40,0,26396.088928222656,22499.80633544922,0,33410265088,0,3369459712,0
199,1764873509364,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,20,15.000000953674316,38.095237731933594,15.000000953674316,25,21.052631378173828,23.809524536132813,40,36.842105865478516,33.333335876464844,30.000001907348633,26.3157901763916,19.047618865966797,75,27.272727966308594,47.36842346191406,22.22222328186035,26.3157901763916,20,15.000000953674316,0,26408.120971679688,22511.50994873047,0,33410265088,0,3371008000,0
199,1764873509564,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,20,15.000000953674316,38.095237731933594,15.000000953674316,25,21.052631378173828,23.809524536132813,40,36.842105865478516,33.333335876464844,30.000001907348633,26.3157901763916,19.047618865966797,75,27.272727966308594,47.36842346191406,22.22222328186035,26.3157901763916,20,15.000000953674316,0,26423.552734375,22526.611328125,0,33410265088,0,3372441600,0
199,1764873509764,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,35,31.57894515991211,35.897438049316406,30.000001907348633,41.02564239501953,41.02564239501953,37.5,39.02438735961914,47.5,43.90243911743164,33.333335876464844,45,32.432430267333984,46.34146499633789,50,30.000001907348633,36.585365295410156,50,40,31.707317352294922,0,26433.84930419922,22536.58544921875,0,33410265088,0,3367727104,0
199,1764873509964,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,42.105262756347656,35,47.619049072265625,40,45,31.57894515991211,33.333335876464844,40,47.36842346191406,55,55,52.38095474243164,40,40,47.619049072265625,59.09090805053711,47.36842346191406,35,42.85714340209961,35,0,26441.12158203125,22543.38446044922,0,33410265088,0,3279278080,0
199,1764873510164,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,15.789472579956055,50,42.85714340209961,4.761904716491699,10,40,22.72727394104004,15.789472579956055,36.3636360168457,30.000001907348633,33.333335876464844,33.333335876464844,21.052631378173828,14.285715103149414,21.052631378173828,42.105262756347656,15.789472579956055,45,26.3157901763916,40,0,26458.172241210938,22560.247924804688,0,33410265088,0,3298910208,0
